i	I
id	I'd
il	I'll
im	I'm
iv	I've
aay	ability
aa	able
ab	about
abr	abbreviate
abrs	abbreviates
abrn	abbreviation
abrx	abbreviations
abrg	abbreviating
abv	above
acm	academic
acp	accept
acpd	accepted
acd	accord
acdg	according
acct	account
ach	achieve
achd	achieved
acht	achievement
acq	acquire
acqd	acquired
acqn	acquisition
acqs	acquires
acqx	acquisitions
acr	across
acg	acting
acn	action
acx	actions
acv	active
acys	activities
acy	activity
acl	actual
acly	actually
addn	addition
addl	additional
adr	address
adrd	addressed
adrs	addresses
adrg	addressing
adq	adequate
adm	administrate
admn	administration
adv	advance
advs	advances
adg	advantage
adgs	advantages
afr	affair
afz	affairs
afd	afraid
af	after
afn	afternoon
afns	afternoons
ag	again
agt	against
agys	agencies
agy	agency
agr	agree
agrd	agreed
agrs	agrees
agrt	agreement
ahd	ahead
alv	alive
alw	allow
alws	allows
alwd	allowed
alm	almost
aln	alone
alg	along
alr	already
al	also
alt	alternate
alts	alternates
altv	alternative
alh	although
alo	altogether
alz	always
amg	among
amt	amount
amtd	amounted
amtg	amounting
amts	amounts
xxx	analysis
anc	ancient
ancs	ancients
k	and
anl	animal
anls	animals
ano	announce
anod	announced
aul	annual
ao	another
ans	answer
ansd	answered
ansg	answering
anss	answers
ay	any
ayb	anybody
ayh	anyhow
aym	anymore
ayo	anyone
ayg	anything
ayt	anytime
ayy	anyway
ayr	anywhere
ap	apart
apm	apartment
xxx	apparent
xxx	apparently
xxx	appeal
apr	appear
aprc	appearance
aprd	appeared
aprg	appearing
aprs	appears
apyn	application
apyd	applied
apy	apply
aph	approach
apa	appropriate
apx	approximate
apxy	approximately
r	are
ra	area
ras	areas
rt	aren't
arg	argument
args	arguments
ar	around
arv	arrive
arvd	arrived
arvs	arrives
xxx	article
xxx	artist
xxx	artists
xxx	arts
z	as
asd	aside
asds	asides
ak	ask
akd	asked
akg	asking
aks	asks
apc	aspect
apcs	aspects
asn	assign
asnt	assignment
xxx	assistance
asc	associate
ascd	associated
ascn	association
